F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_line,reason,scoring_strategy,status,subject,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit
48,67,statement,data-flow,InventoryReorder_M4,AOR,14,,density_log,evaluated,InventoryReorder,3,TRUE,TRUE,4,TRUE,TRUE,6,TRUE,TRUE
23,86,statement,data-flow,InventoryReorder_M5,CR,22,,density_log,evaluated,InventoryReorder,2,TRUE,TRUE,4,TRUE,TRUE,6,TRUE,TRUE
85,24,statement,data-flow,InventoryReorder_M6,RVR,27,,density_log,evaluated,InventoryReorder,2,TRUE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
88,0,condition,control-flow,PairSortCheck_M1,ROR,3,,density_log,evaluated,PairSortCheck,4,TRUE,TRUE,8,TRUE,TRUE,10,TRUE,TRUE
68,10,condition,control-flow,PairSortCheck_M2,ROR,13,,density_log,evaluated,PairSortCheck,2,FALSE,FALSE,6,FALSE,TRUE,10,TRUE,TRUE
0,167,condition,control-flow,PairSortCheck_M3,BOR,43,no_tbfv_failures,density_log,not_detected,PairSortCheck,,,,,,,,,
7,141,statement,data-flow,PairSortCheck_M4,SUR,5,,density_log,evaluated,PairSortCheck,4,TRUE,TRUE,6,TRUE,TRUE,10,TRUE,TRUE
88,99,statement,data-flow,PairSortCheck_M5,SUR,40,,density_log,evaluated,PairSortCheck,4,TRUE,TRUE,9,TRUE,TRUE,13,TRUE,TRUE
0,219,statement,data-flow,PairSortCheck_M6,RVR,48,no_tbfv_failures,density_log,not_detected,PairSortCheck,,,,,,,,,
1,165,condition,control-flow,WeightedAddLoop_M1,BOR,3,,density_log,evaluated,WeightedAddLoop,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
1,163,condition,control-flow,WeightedAddLoop_M2,BOR,6,,density_log,evaluated,WeightedAddLoop,2,TRUE,TRUE,2,TRUE,TRUE,3,TRUE,TRUE
0,166,condition,control-flow,WeightedAddLoop_M3,ROR,16,no_tbfv_failures,density_log,not_detected,WeightedAddLoop,,,,,,,,,
80,86,statement,data-flow,WeightedAddLoop_M4,CR,13,,density_log,evaluated,WeightedAddLoop,2,TRUE,TRUE,4,TRUE,TRUE,7,TRUE,TRUE
80,86,statement,data-flow,WeightedAddLoop_M5,AOR,19,,density_log,evaluated,WeightedAddLoop,2,FALSE,FALSE,5,TRUE,TRUE,7,TRUE,TRUE
80,86,statement,data-flow,WeightedAddLoop_M6,AOR,25,,density_log,evaluated,WeightedAddLoop,3,TRUE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
1,125,condition,control-flow,MarginAdjustLoop_M1,BOR,3,,density_log,evaluated,MarginAdjustLoop,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
1,121,condition,control-flow,MarginAdjustLoop_M2,BOR,6,,density_log,evaluated,MarginAdjustLoop,2,TRUE,TRUE,2,TRUE,TRUE,3,TRUE,TRUE
60,66,condition,control-flow,MarginAdjustLoop_M3,BOR,18,,density_log,evaluated,MarginAdjustLoop,3,TRUE,TRUE,4,TRUE,TRUE,6,TRUE,TRUE
60,66,statement,data-flow,MarginAdjustLoop_M4,CR,13,,density_log,evaluated,MarginAdjustLoop,2,TRUE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
60,66,statement,data-flow,MarginAdjustLoop_M5,AOR,19,,density_log,evaluated,MarginAdjustLoop,3,TRUE,TRUE,4,TRUE,TRUE,6,TRUE,TRUE
60,66,statement,data-flow,MarginAdjustLoop_M6,AOR,21,,density_log,evaluated,MarginAdjustLoop,3,TRUE,TRUE,5,TRUE,TRUE,7,TRUE,TRUE
1,76,condition,control-flow,SaturatingPenaltyLoop_M1,BOR,3,,density_log,evaluated,SaturatingPenaltyLoop,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
1,72,condition,control-flow,SaturatingPenaltyLoop_M2,BOR,6,,density_log,evaluated,SaturatingPenaltyLoop,2,TRUE,TRUE,2,TRUE,TRUE,3,TRUE,TRUE
0,78,condition,control-flow,SaturatingPenaltyLoop_M3,BOR,21,no_tbfv_failures,density_log,not_detected,SaturatingPenaltyLoop,,,,,,,,,
35,42,statement,data-flow,SaturatingPenaltyLoop_M4,AOR,14,,density_log,evaluated,SaturatingPenaltyLoop,3,TRUE,TRUE,4,TRUE,TRUE,7,TRUE,TRUE
18,59,statement,data-flow,SaturatingPenaltyLoop_M5,AOR,16,,density_log,evaluated,SaturatingPenaltyLoop,3,TRUE,TRUE,5,TRUE,TRUE,8,TRUE,TRUE
37,40,statement,data-flow,SaturatingPenaltyLoop_M6,RVR,24,,density_log,evaluated,SaturatingPenaltyLoop,2,TRUE,TRUE,5,TRUE,TRUE,8,TRUE,TRUE
1,83,condition,control-flow,RewardCapLoop_M1,BOR,3,,density_log,evaluated,RewardCapLoop,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
1,78,condition,control-flow,RewardCapLoop_M2,BOR,6,,density_log,evaluated,RewardCapLoop,2,TRUE,TRUE,2,TRUE,TRUE,3,TRUE,TRUE
16,70,condition,control-flow,RewardCapLoop_M3,BOR,18,,density_log,evaluated,RewardCapLoop,3,TRUE,TRUE,5,TRUE,TRUE,6,TRUE,TRUE
